hindi,english
झलक दिखला जा,Jhalak Dikhhla Jaa
भारत,India
अभिनेता,Actor
इंटरनेट मूवी डेटाबेस,IMDb
भारत,India
महाराष्ट्र,Maharashtra
रंग दे बसंती,Rang De Basanti
राजकुमार हिरानी,Rajkumar Hirani
हिन्दी,Hindi
३ ईडियट्स,3 Idiots
अनुराग कश्यप,Anurag Kashyap
इंटरनेट मूवी डेटाबेस,IMDb
गैंग्स ऑफ वासेपुर,Gangs of Wasseypur
गैंग्स ऑफ वासेपुर – भाग 2,Gangs of Wasseypur – Part 2
मेरठिया गैंगस्टर्स,Meeruthiya Gangsters
अजय देवगन,Ajay Devgn
इंटरनेट मूवी डेटाबेस,IMDb
एक घर बनाऊंगा,Ek Ghar Banaunga
तनुश्री दत्ता,Tanushree Dutta
फ़िल्म,Film
भारतीय,Indian
दक्षिण भारत,South India
दुबई,Dubai
बॉलीवुड,Bollywood
मलयालम सिनेमा,Malayalam cinema
हिन्दी,Hindi
इंटरनेट मूवी डेटाबेस,IMDb
एली एवराम,Elli AvrRam
कायनात अरोड़ा,Kainaat Arora
कुमकुम भाग्य,Kumkum Bhagya
ज़रीन खान,Zareen Khan
तेलुगू,Telugu language
रकुल प्रीत सिंह,Rakul Preet Singh
रिया सेन,Riya Sen
सना खान,Sana Khan
हमारी अधूरी कहानी,Hamari Adhuri Kahani
हिन्दी,Hindi
हुमा क़ुरैशी (अभिनेत्री),Huma Qureshi (actress)
सिंदरी,Sindri
१९६३,1963
१९८१,1981
अग्निपथ,Agneepath
ऐतराज़,Aitraaz
जमशेदपुर,Jamshedpur
ज़रीन खान,Zareen Khan
ज़ोया अफ़रोज़,Zoya Afroz
फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
फ़िल्मफ़ेयर सर्वश्रेष्ठ खलनायक पुरस्कार,Filmfare Award for Best Performance in a Negative Role
फ़ैशन,Fashion (2008 film)
भारत,India
भारतीय,Indian
मीरा चोपड़ा,Meera Chopra
सना खान,Sana Khan
हिन्दी,Hindi
१८ जुलाई,July 18
१९८२,1982
७ खून माफ़,7 Khoon Maaf
भारत,India
महिला,Woman
सौंदर्य प्रतियोगिता,Beauty pageant
कलाकार,Artist
जमशेदपुर,Jamshedpur
झारखण्ड,Jharkhand
तमिल,Tamils
नई दिल्ली,New Delhi
बिहार,Bihar
भारत,India
विशाल भारद्वाज,Vishal Bhardwaj
अमृतसर,Amritsar
अहमदाबाद,Ahmedabad
इंडिगो,Indigo
उराँव,Kurukh people
एयर इंडिया,Air India
कर्क रेखा,Tropic of Cancer
कोयंबतूर,Coimbatore
कोलकाता,Kolkata
गुवाहाटी,Guwahati
गोएयर,GoAir
गोवा,Goa
चंडीगढ़,Chandigarh
चेन्नई,Chennai
छोटा नागपुर पठार,Chota Nagpur Plateau
जगन्नाथपुर मंदिर,"Jagannath Temple, Ranchi"
जमशेदपुर,Jamshedpur
जयपुर,Jaipur
जोन्हा जलप्रपात,Jonha Falls
झारखंड,Jharkhand
तिरुवनंतपुरम,Thiruvananthapuram
दशम जलप्रपात,Dassam Falls
दिल्ली,Delhi
नागपुर,Nagpur
पटना,Patna
पुणे,Pune
पुरी,Puri
पोर्ट ब्लेयर,Port Blair
बिरला इंस्टीट्यूट आफ़ टेक्नालजी,"Birla Institute of Technology, Mesra"
बिरसा मुंडा अंतरराष्ट्रीय विमानक्षेत्र,Birsa Munda Airport
बिहार,Bihar
बेंगलूर,Bangalore
बोकारो,Bokaro Steel City
ब्रिटिश राज,British Raj
भारत,India
भारतीय इस्पात प्राधिकरण,Steel Authority of India
भुवनेश्वर,Bhubaneswar
महानगर,Metropolitan area
महाराष्ट्र,Maharashtra
महेंद्र सिंह धोनी,MS Dhoni
मुंबई,Mumbai
मैसूर,Mysore
रवीन्द्रनाथ ठाकुर,Rabindranath Tagore
राँची विश्वविद्यालय,Ranchi University
राजधानी,Capital city
राजेन्द्र मेडिकल कालेज एवं अस्पताल,Rajendra Institute of Medical Sciences
लखनऊ,Lucknow
वाराणसी,Varanasi
विशाखापट्टनम,Visakhapatnam
श्रीनगर,Srinagar
सिपाही विद्रोह,Indian Rebellion of 1857
स्थापत्य,Architecture
हुन्डरु जलप्रपात,Hundru Falls
हेवी इंजिनयरिंग कारपोरेशन,Heavy Engineering Corporation
हैदराबाद,Hyderabad
कैलिफ़ोर्निया,California
फ़िल्म,Film
संयुक्त राज्य,United States
हिन्दी,Hindi
झारखण्ड,Jharkhand
इलाहाबाद,Allahabad
ऑल इंडिया रेडियो,All India Radio
कजरी,Kajari
ग़ज़ल,Ghazal
ठुमरी,Thumri
दूरदर्शन,Television
नागपुरी भाषा,Sadri language
पटना,Patna
प्रभाकर,Prabhākara
बिहार,Bihar
बिहार सरकार,Government of Bihar
भारत,India
"भोजपुर जिला, बिहार","Bhojpur district, Bihar"
रेडियो मिर्ची,Radio Mirchi
विनोबा भावे विश्वविद्यालय,Vinoba Bhave University
साक्षात्कार,Interview
हजारीबाग,Hazaribagh
हिंदी,Hindi
इंटरनेट मूवी डेटाबेस,IMDb
गुलाम मुस्तफ़ा खान,Ghulam Mustafa Khan (singer)
जमशेदपुर,Jamshedpur
नई दिल्ली,New Delhi
भारत,India
मुंबई,Mumbai
मुंबई विश्वविद्यालय,University of Mumbai
शंकर महादेवन,Shankar Mahadevan
हरिहरन,Hariharan (singer)
अकाल,Famine
अक्टूबर,October
अगस्त,August
आदिवासी,Indigenous peoples
खूँटी,Khunti
गोंड,Gond
चक्रधरपुर,Chakradharpur
चाईबासा,Chaibasa
छोटा नागपुर पठार,Chota Nagpur Plateau
जनजाति,Tribe
जनवरी,January
जून,June
झारखंड,Jharkhand
पश्चिम बंगाल,West Bengal
बिरसा मुंडा अंतरराष्ट्रीय विमानक्षेत्र,Birsa Munda Airport
बिरसा मुण्डा,Birsa Munda
बिहार,Bihar
भगवान,Bhagavan
भील,Bhil people
महामारी,Epidemic
मानसून,Monsoon
मार्च,March
मुण्डा,Munda people
राँची,Ranchi
समाधि,Samadhi
१८९४,1894
ईस्ट इण्डिया कम्पनी,East India Company
कायस्थ,Kayastha
झारखंड,Jharkhand
झारखण्ड,Jharkhand
चाईबासा,Chaibasa
झारखंड,Jharkhand
असहयोग आन्दोलन,Non-cooperation movement
खादी,Khadi
झारखण्ड,Jharkhand
बिहार,Bihar
भारत,India
भारत छोड़ो आन्दोलन,Quit India Movement
भीमराव आंबेडकर,B. R. Ambedkar
हजारीबाग,Hazaribagh
कुँवर सिंह,Kunwar Singh
टिकैत उमराँव सिंह,Tikait Umrao Singh
ठाकुर विश्वनाथ शाहदेव,Vishwanath Shahdeo
पाण्डे गणपत राय,Pandey Ganpat Rai
राँची जिला,Ranchi district
खड़िया आदिवासी,Kharia people
गुमला,Gumla
झारखंड,Jharkhand
राजा,Monarch
झारखंड,Jharkhand
राँची,Ranchi
आदिवासी,Indigenous peoples
झारखंड,Jharkhand
भागलपुर,Bhagalpur
महाश्वेता देवी,Mahasweta Devi
संताली,Santal people
आज तक,Aaj Tak
जामिया मिलिया इस्लामिया,Jamia Millia Islamia
टाइगर जिंदा है,Tiger Zinda Hai
तवलीन सिंह,Tavleen Singh
दूरदर्शन,Television
निस्तुला हेब्बार,Nistula Hebbar
पत्रकार,Journalist
पत्रकारिता,Journalism
भारत,India
रवीश कुमार,Ravish Kumar
श्वेता सिंह,Sweta Singh
सुल्तान (2016 फ़िल्म),Sultan (2016 film)
गुमला जिला,Gumla district
झारखंड,Jharkhand
झारखण्ड,Jharkhand
परमवीर चक्र,Param Vir Chakra
बिहार,Bihar
भारत,India
भारत सरकार,Government of India
लांस नायक,Lance naik
धनबाद,Dhanbad
बिहार,Bihar
बैंक ऑफ़ इंडिया,Bank of India
भारत,India
भारत सरकार,Government of India
भारतीय पुलिस सेवा,Indian Police Service
लोक सभा,Lok Sabha
सुपौल,Supaul
झारखंड,Jharkhand
राँची जिला,Ranchi district
नागपुरी भाषा,Sadri language
मेदिनी राय,Medini Ray
राजा,Monarch
कृष्ण सिंह,Shri Krishna Singh (politician)
केदार पांडे,Kedar Pandey
गिरीडीह,Giridih
जगन्नाथ मिश्र,Jagannath Mishra
नितीश कुमार,Nitish Kumar
पटना,Patna
बिहार के मुख्यमंत्री,List of chief ministers of Bihar
भारत,India
भारतीय,Indian
भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
राज्य सभा,Rajya Sabha
लोक सभा,Lok Sabha
करमा,Karam (festival)
कुड़मी महतो,Kudumi Mahato
कुरमाली भाषा,Kurmali language
जितिया,Jivitputrika
झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
धनबाद जिला,Dhanbad district
भारत,India
राज किशोर महतो,Raj Kishore Mahato
ऑक्सफोर्ड,Oxford
छोटा नागपुर,Chota Nagpur Plateau
छोटानागपुर,Chota Nagpur Plateau
झारखंड,Jharkhand
नीदरलैंड,Netherlands
बिहार,Bihar
भारत,India
भारतीय सिविल सेवा,Civil Services of India
मुंडा जनजाति,Munda people
संविधान सभा,Constituent Assembly of India
हॉकी,Hockey
भारत,India
ऑल झारखण्ड स्टूडेंट्स यूनियन,All Jharkhand Students Union
झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
झारखण्ड,Jharkhand
आदिवासी,Indigenous peoples
जामताड़ा,Jamtara
झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
दुमका,Dumka
बिहार,Bihar
भारत,India
मनमोहन सिंह,Manmohan Singh
लोक सभा,Lok Sabha
सांसद,Member of parliament
११ जनवरी,January 11
१९४४,1944
२००४,2004
अरुणाचल प्रदेश,Arunachal Pradesh
असम,Assam
मेघालय,Meghalaya
सिक्किम,Sikkim
आन्ध्र प्रदेश,Andhra Pradesh
कर्नाटक,Karnataka
अजयगढ़,Ajaigarh
अनुसूचित जनजाति,Indigenous peoples
अनुसूचित जाति,Dalit
अमरकंटक,Amarkantak
अमरकंटक बायोस्फियर रिजर्व,Achanakmar-Amarkantak Biosphere Reserve
अवधेश प्रताप सिंह विश्वविद्यालय,Awadhesh Pratap Singh University
अशोक नगर,Ashoknagar
अशोकनगर,Ashoknagar
असीरगढ़,Asirgarh Fort
इंदिरा गांधी राष्ट्रीय जनजातीय विश्वविद्यालय,Indira Gandhi National Tribal University
इंदौर,Indore
इटारसी,Itarsi
ईसाई,Christians
उज्जैन,Ujjain
उत्तर प्रदेश,Uttar Pradesh
उर्दू,Urdu
ओंकारेश्वर,Omkareshwar Temple
ओरछा,Orchha
कन्या भ्रूण हत्या,Sex-selective abortion
कबीर पंथ,Kabir panth
कबीरदास,Kabir
कांडला,Kandla
कान्हा राष्ट्रीय उद्यान,Kanha Tiger Reserve
कालिदास,Kālidāsa
काली मिट्टी,Black soil
काली सिंध,Kali Sindh River
किशोर कुमार,Kishore Kumar
कुम्भ मेला,Kumbh Mela
केन,Ken River
कैमूर,Kaimur district
कोरकू,Korku people
कोसल,Kosala
कौल,Kaula (Hinduism)
क्रिकेट,Cricket
खजुराहो,Khajuraho (town)
खरगोन,Khargone
खो-खो,Kho kho
गिर्द,"Gird, India"
गिल्ली-डंडा,Gillidanda
गुजरात,Gujarat
गोंड,Gond
गोंडी,Gondi people
गोदावरी नदी,Godavari River
गोवा,Goa
ग्वालियर,Gwalior
ग्वालियर का किला,Gwalior Fort
चंदेरी,Chanderi
चंबल,Chambal River
चंबल संभाग,Chambal division
चन्देरी,Chanderi
चम्बल,Chambal River
चित्रकूट,Chitrakoot Dham (Karwi)
छतरपुर,Chhatarpur
छत्तीसगढ़,Chhattisgarh
छिंदवाड़ा,Chhindwara
जबलपुर,Jabalpur
जबलपुर संभाग,Jabalpur division
जलोढ़ मिट्टी,Alluvium
जवाहरलाल नेहरू कृषि विश्वविद्यालय,Jawaharlal Nehru Krishi Vishwa Vidyalaya
जवाहरलाल नेहरू बंदरगाह,Jawaharlal Nehru Port
जालौन,Jalaun
जीवाजी विश्वविद्यालय,Jiwaji University
जीवाश्म राष्ट्रीय उद्यान,Mandla Plant Fossils National Park
जैन,Jainism
ज्योतिर्लिंग,Jyotirlinga
झाँसी,Jhansi
झाबुआ,Jhabua
टीकमगढ़,Tikamgarh
टेबल टेनिस,Table tennis
डॉ॰ हरिसिंह गौर विश्वविद्यालय,Dr. Hari Singh Gour University
तवा नदी,Tawa River
तानसेन,Tansen
ताप्ती,Tapti River
ताप्ती नदी,Tapti River
तारण पंथ,Taran Panth
तुमैन,Tumain
तेलुगू,Telugu language
तैराकी,Swimming
दतिया,Datia
दमोह,Damoh
दिगंबर,Digambara
देवास,Dewas
देवी अहिल्या विश्वविद्यालय,Devi Ahilya Vishwavidyalaya
धसान,Dhasan River
धार,Dhar
धूपगढ़,Dhupgarh
नर्मदा,Narmada River
नर्मदा नदी,Narmada River
नागपुर,Nagpur
निमाड़,Nimar
नेमावर,Nemawar
पंडवानी,Pandavani
पचमढ़ी,Pachmarhi
पचमढ़ी बायोस्फीयर रिजर्व,Pachmarhi Biosphere Reserve
पन्ना,Emerald
पन्ना राष्ट्रीय उद्यान,Panna National Park
पश्चिम मध्य रेलवे,West Central Railway zone
पश्चिम रेलवे,Western Railway zone
पातालकोट,"Patalkot, India"
पेंच राष्ट्रीय उद्यान,Pench National Park
फुटबॉल,Association football
बघेलखंड,Bagelkhand
बघेलखण्ड,Bagelkhand
बघेली,Bagheli language
बडवानी,Barwani
बरकतउल्लाह विश्वविद्यालय,Barkatullah University
बहुजन समाज पार्टी,Bahujan Samaj Party
बांधवगढ़ राष्ट्रीय उद्यान,Bandhavgarh National Park
बावनगजा,Bawangaja
बास्केटबॉल,Basketball
बुंदेलखंड,Bundelkhand
बुंदेली,Bundeli language
बुन्देलखण्ड,Bundelkhand
बुरहानपुर,Burhanpur
बेतवा,Betwa River
बेतवा नदी,Betwa River
बैगा,Baiga tribe
बैजू बावरा,Baiju Bawra
बैडमिंटन,Badminton
बैतूल,"Betul, Madhya Pradesh"
बौद्ध,Buddhism
भाजपा,Bharatiya Janata Party
भारत,India
भारत के राज्य,States and union territories of India
भारत के राष्ट्रपति,President of India
भारतीय जनता पार्टी,Bharatiya Janata Party
भारतीय पर्यटन और यात्रा प्रबंधन संस्थान,Indian Institute of Tourism and Travel Management
भीमबेटका,Bhimbetka rock shelters
भील,Bhil people
भेड़ाघाट,Bhedaghat
भोजपुर,Bhojpur
भोपाल,Bhopal
मंडला,Mandla
मंडलेश्वर,Mandleshwar
मध्य प्रदेश का पर्यटन,Tourism in Madhya Pradesh
मध्य प्रदेश के जिले,List of districts of Madhya Pradesh
मध्य प्रदेश के मुख्यमन्त्रियों की सूची,List of chief ministers of Madhya Pradesh
मध्य प्रदेश के राज्यपालों की सूची,List of governors of Madhya Pradesh
मध्य प्रदेश के लोकसभा सदस्य,List of members of the 16th Lok Sabha
मध्य प्रदेश के शहरों की सूची,List of cities in Madhya Pradesh by population
मध्य प्रदेश क्रिकेट टीम,Madhya Pradesh cricket team
मध्य प्रदेश भोज मुक्त विश्वविद्यालय,Madhya Pradesh Bhoj Open University
मध्य प्रदेश सरकार,Government of Madhya Pradesh
मध्य प्रांत और बरार,Central Provinces
मध्य रेलवे,Central Railway zone
मध्यप्रेदश,Madhya Pradesh
मराठा,Maratha (caste)
मराठी,Marathi language
मराठी लोग,Marathi people
महाकालेश्वर मंदिर,Mahakaleshwar Jyotirlinga
महानदी,Mahanadi
महाभारत,Mahabharata
महाराष्ट्र,Maharashtra
महेश्वर,Maheshwar
मांडू,"Mandu, Madhya Pradesh"
माधव राष्ट्रीय उद्यान,Madhav National Park
मानव विकास सूचकांक,Human Development Index
मानसून,Monsoon
मालवा,Malwa
मालवी,Malvi language
मुख्यमंत्री,Chief minister (India)
मुस्लिम,Muslims
यमुना,Yamuna
यमुना नदी,Yamuna
रतलाम,Ratlam
राजधानी,Capital city
राजस्थान,Rajasthan
राजीव गांधी प्रौद्योगिकी विश्वविद्यालय,Rajiv Gandhi Proudyogiki Vishwavidyalaya
राज्य,State (polity)
राज्यपाल,Governor
राज्यसभा,Rajya Sabha
रानी दुर्गावती विश्वविद्यालय,Rani Durgavati Vishwavidyalaya
रानी लक्ष्मीबाई,Rani of Jhansi
रीवा,"Rewa, Madhya Pradesh"
रूपसिंह स्टेडियम (ग्वालियर),Captain Roop Singh Stadium
लता मंगेशकर,Lata Mangeshkar
लालजी टंडन,Lalji Tandon
लैटराइट मिट्टी,Laterite
लोकसभा,Lok Sabha
वन विहार राष्ट्रीय उद्यान,Van Vihar National Park
विंध्य क्षेत्र,Vindhya Pradesh
विक्रम विश्वविद्यालय,Vikram University
विदिशा,Vidisha
विशेष आर्थिक क्षेत्र,Special economic zone
वॉलीबॉल,Volleyball
शहडोल,Shahdol
शिवपुरी,Shivpuri
शिवराज सिंह चौहान,Shivraj Singh Chouhan
शीतलनाथ,Shitalanatha
श्वेतांबर,Śvētāmbara
संजय गांधी राष्ट्रीय उद्यान,Sanjay Gandhi National Park
संस्कृत,Sanskrit
सतना,Satna
सतपुड़ा,Satpura Range
सतपुड़ा राष्ट्रीय अभ्यारण्य,Satpura Tiger Reserve
साँची,Sanchi
साँची का स्तूप,Sanchi
सांची,Sanchi
सागर,Sagar
सिंगरौली,Singrauli
सिंधिया,Scindia
सिंधी,Sindhi
सिंहस्थ,Ujjain Simhastha
सिख,Sikhs
सिन्ध,Sindh
सिवनी,"Seoni, Madhya Pradesh"
सीधी,Sidhi
सोन,Son River
सोनागिरि,Sonagiri
सोहागपुर,Sohagpur
स्नूकर,Snooker
हमीरपुर,Hamirpur
हल्बा,Halba (tribe)
हिंदी,Hindi
हिंदू धर्म,Hinduism
हिन्दी,Hindi
हिन्दू धर्म,Hinduism
हिमालय,Himalayas
हॉकी,Hockey
जमशेदपुर,Jamshedpur
बाबूलाल मरांडी,Babulal Marandi
भारत,India
भारतीय जनता पार्टी,Bharatiya Janata Party
कोडरमा,Kodarma
झारखण्ड,Jharkhand
भारतीय जनता पार्टी,Bharatiya Janata Party
बिहार,Bihar
बिहार के मुख्यमंत्री,List of chief ministers of Bihar
भारत,India
झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
झारखण्ड,Jharkhand
पटना,Patna
बिहार,Bihar
बिहार के मुख्यमंत्री,List of chief ministers of Bihar
भारत,India
कांग्रेस,Congress
झारखंड के लोकसभा सदस्य,List of members of the 16th Lok Sabha
पंचायती राज,Panchayati raj in India
प्रांत,Province
बाबूलाल मरांडी,Babulal Marandi
राष्ट्रवादी कांग्रेस पार्टी,Nationalist Congress Party
राष्ट्रीय स्वयंसेवक संघ,Rashtriya Swayamsevak Sangh
संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
अन्य पिछड़ा वर्ग,Other Backward Class
जमशेदपुर,Jamshedpur
तेली,Teli
भारतीय जनता पार्टी,Bharatiya Janata Party
झारखण्ड,Jharkhand
भारत,India
भारतीय,Indian
भारतीय जनता पार्टी,Bharatiya Janata Party
झारखण्ड,Jharkhand
भारत,India
भारतीय जनता पार्टी,Bharatiya Janata Party
सांसद,Member of parliament
झारखण्ड,Jharkhand
भारत,India
भारतीय,Indian
भारतीय जनता पार्टी,Bharatiya Janata Party
भारतीय जनता पार्टी,Bharatiya Janata Party
राँची,Ranchi
अंग्रेजी,English language
अवधी,Awadhi language
इंजीनियर,Engineer
इंडोनेशिया,Indonesia
इलाहाबाद विश्वविद्यालय,University of Allahabad
कलकत्ता विश्वविद्यालय,University of Calcutta
गणित,Mathematics
गुमला,Gumla
गैंगरीन,Gangrene
झारखंड,Jharkhand
दार्जिलिंग,Darjeeling
दिल्ली,Delhi
नीदरलैंड,Netherlands
नॉकके-हेइस्ट,Knokke-Heist
पद्म भूषण,Padma Bhushan
पद्म विभूषण,Padma Vibhushan
पद्मश्री,Padma Shri
बंबई,Mumbai
बेल्जियम,Belgium
ब्रजभाषा,Braj Bhasha
भारत,India
भारत रत्न,Bharat Ratna
भारत सरकार,Government of India
भारतीय,Indian
मुम्बई,Mumbai
ल्यूवेन विश्वविद्यालय,Catholic University of Leuven (1834–1968)
वलकनबर्ग,Valkenburg aan de Geul
वाल्मीकि,Valmiki
वियतनाम,Vietnam
वेस्ट फ्लैंडर्स,West Flanders
शिक्षा,Education
संस्कृत,Sanskrit
साहित्य,Literature
सिविल इंजीनियरिंग,Civil engineering
हिंदी,Hindi
हिंदी साहित्य,Hindi literature
राजा,Monarch
गुमला,Gumla
जहाँगीर,Jahangir
राजा,Monarch
महाराजा,Maharaja
औरंगज़ेब,Aurangzeb
झारखंड,Jharkhand
पलामू के दुर्ग,Palamu Forts
महाराजा,Maharaja
रघुनाथ शाह,Raghunath Shah
कोलकाता,Kolkata
झारखण्ड,Jharkhand
पश्चिम मेदिनीपुर जिला,Paschim Medinipur district
बंगाल,Bengal
बिहार,Bihar
ब्राह्मण,Brahmin
भारत,India
भारतीय प्रौद्योगिकी संस्थान खड़गपुर,Indian Institute of Technology Kharagpur
रबीन्द्रनाथ ठाकुर,Rabindranath Tagore
रमेशचन्द्र मजुमदार,R. C. Majumdar
राजा राममोहन राय,Ram Mohan Roy
विद्यासागर सेतु,Vidyasagar Setu
विधवा,Widow
विवाह,Marriage
वैद्य,Vaidya
संस्कृत कॉलेज,The Sanskrit College and University
संस्कृत भाषा,Sanskrit
क्रोएशिया,Croatia
जमशेदपुर,Jamshedpur
दीपिका कुमारी,Deepika Kumari
द्रोणाचार्य पुरस्कार,Dronacharya Award
भारत,India
भारतीय,Indian
स्वर्ण पदक,Gold medal
2016 अंडर 19 क्रिकेट विश्व कप,2016 Under-19 Cricket World Cup
इंडियन प्रीमियर लीग,Indian Premier League
एडम गिलक्रिस्ट,Adam Gilchrist
कोलकाता नाइट राइडर्स,Kolkata Knight Riders
क्रिकेट,Cricket
गुजरात लॉयन्स,Gujarat Lions
पटना,Patna
बिहार,Bihar
महेंद्र सिंह धोनी,MS Dhoni
मुंबई इंडियंस,Mumbai Indians
२०१८ इंडियन प्रीमियर लीग,2018 Indian Premier League
अरुण जेटली,Arun Jaitley
क्रिकेट,Cricket
दरभंगा,Darbhanga
पूर्णिया,Purnia
बिहार,Bihar
भागवत झा आजाद,Bhagwat Jha Azad
भारत,India
भारतीय जनता पार्टी,Bharatiya Janata Party
मुख्यमंत्री,Chief minister (India)
राजनीतिज्ञ,Politics
लोक सभा,Lok Sabha
इंडियन प्रीमियर लीग,Indian Premier League
ओडिसा,Odisha
केरल,Kerala
झारखंड,Jharkhand
दिल्ली डेयरडेविल्स,Delhi Capitals
प्रथम श्रेणी क्रिकेट,First-class cricket
बिहार,Bihar
भारत,India
भारतीय,Indian
लिस्ट ए क्रिकेट,List A cricket
२०१८ इंडियन प्रीमियर लीग,2018 Indian Premier League
भारत,India
इंडियन प्रीमियर लीग,Indian Premier League
क्रिकेट,Cricket
2016 ग्रीष्मकालीन ओलम्पिक,2016 Summer Olympics
झारखण्ड,Jharkhand
बैंकॉक,Bangkok
भारत,India
भारतीय महिला हॉकी टीम,India women's national field hockey team
अपवर्तन,Refraction
कंचनजंघा,Kangchenjunga
काठमांडू,Kathmandu
गंगा नदी,Ganges
चीन,China (region)
तिब्बत,Tibet
देहरादून,Dehradun
नेपाल,Nepal
पटना,Patna
भूगोल,Geography
हिमालय,Himalayas
अखिल भारतीय विद्यार्थी परिषद,Akhil Bharatiya Vidyarthi Parishad
अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
अन्य पिछड़ा वर्ग,Other Backward Class
अफगानिस्तान,Afghanistan
अफज़ल गुरु,Afzal Guru
अफ़ग़ानिस्तान,Afghanistan
अमर्त्य सेन,Amartya Sen
अमित मिश्रा,Amit Mishra
अयोध्या,Ayodhya
अलीगढ़ मुस्लिम विश्वविद्यालय,Aligarh Muslim University
अशरफ गनी,Ashraf Ghani
अहमदाबाद,Ahmedabad
आधार (परियोजना),Aadhaar
इंडियन एक्सप्रेस,The Indian Express
इकोनॉमिक टाइम्स,The Economic Times
इजराइल,Israel
उच्चतम न्यायालय,Supreme court
उत्तर प्रदेश,Uttar Pradesh
उम्मन चांडी,Oommen Chandy
एम॰एससी॰,M.Sc.
ऐतिहासिक,History
ऑल इण्डिया अन्ना द्रविड़ मुनेत्र कड़गम,All India Anna Dravida Munnetra Kazhagam
ऑस्ट्रेलिया,Australia
कन्याकुमारी,Kanyakumari
कर,Tax
कर्नाटक के मुख्यमंत्री,List of chief ministers of Karnataka
कांग्रेस,Congress
काला धन,Black market
काश्मीर,Kashmir
केरल के मुख्यमंत्री,List of chief ministers of Kerala
केशुभाई पटेल,Keshubhai Patel
गंगा,Ganges
गुजरात,Gujarat
गुजरात के मुख्यमंत्री,List of chief ministers of Gujarat
गुजरात विश्वविद्यालय,Gujarat University
गुजराती,Gujarati language
गुजराती भाषा,Gujarati language
गोआ,Goa
गोधरा,Godhra
चाय,Tea
चीन,China (region)
जनता पार्टी,Janata Party
जम्मू,Jammu Division
जयललिता,J. Jayalalithaa
जवाहर लाल नेहरू विश्वविद्यालय,Jawaharlal Nehru University
जापान,Japan
जिनेवा,Geneva
टाइम्स ऑफ इंडिया,The Times of India
टोनी एबॉट,Tony Abbott
ट्विटर,Twitter
डोकलाम विवाद 2017,2017 China–India border standoff
तलाक,Divorce
तीन बार तलाक,Triple talaq in India
तेली,Teli
द हिन्दू,The Hindu
दिल्ली,Delhi
नमो,Narendra Modi
नरेंद्र मोदी,Narendra Modi
नवाज़ शरीफ़,Nawaz Sharif
नवीनचन्द्र रामगुलाम,Navin Ramgoolam
नीति आयोग,NITI Aayog
नेपाल,Nepal
न्यूयॉर्क टाइम्स,The New York Times
पर्यटक,Tourism
पशुपतिनाथ मंदिर,Pashupatinath Temple
पाकिस्तान,Pakistan
प्रधानमंत्री जन धन योजना,Pradhan Mantri Jan Dhan Yojana
फेसबुक,Facebook
बलिया,Ballia
बांग्लादेश,Bangladesh
बाबरी मस्जिद,Babri Masjid
बॉम्बे राज्य,Bombay State
ब्रिक्स सम्मेलन,BRICS
ब्लॉग,Blog
भाजपा,Bharatiya Janata Party
भारत,India
भारत के 500 और 1000 रुपये के नोटों का विमुद्रीकरण,2016 Indian banknote demonetisation
भारत के प्रधानमन्त्री,Prime Minister of India
भारत पाकिस्तान के बीच द्वितीय युद्ध,Indo-Pakistani War of 1965
भारत सरकार,Government of India
भारतीय,Indian
"भारतीय आम चुनाव, 2014",2014 Indian general election
भारतीय जनता पार्टी,Bharatiya Janata Party
भारतीय दण्ड संहिता,Indian Penal Code
भूटान,Bhutan
मंगल पांडे,Mangal Pandey
मन की बात,Mann Ki Baat
मनमोहन सिंह,Manmohan Singh
मन्दिर,Hindu temple
ममता बनर्जी,Mamata Banerjee
मरुमलार्ची द्रविड़ मुनेत्र कझगम,Marumalarchi Dravida Munnetra Kazhagam
महिन्दा राजपक्षे,Mahinda Rajapaksa
महेसाना जिला,Mehsana district
मालदीव,Maldives
मुकुल रॉय,Mukul Roy
मुख्यमंत्री,Chief minister (India)
मुख्यमन्त्री,Chief minister (India)
मुरली मनोहर जोशी,Murli Manohar Joshi
मेक इन इंडिया,Make in India
मॉरिशस,Mauritius
योजना आयोग,Planning Commission (India)
राजकोट,Rajkot
राजनाथ सिंह,Rajnath Singh
राजनीति विज्ञान,Political science
राजनेता,Politician
राष्ट्रपति भवन,Rashtrapati Bhavan
राष्ट्रीय जनतांत्रिक गठबंधन,National Democratic Alliance
राष्ट्रीय स्वयंसेवक संघ,Rashtriya Swayamsevak Sangh
रिवाड़ी,Rewari
रूस,Russia
रेल बजट,Railway budget of India
लक्ष्मणराव इनामदार,Lakshmanrao Inamdar
लालकृष्ण आडवाणी,L. K. Advani
वडनगर,Vadnagar
वड़नगर,Vadnagar
वस्तु एवं सेवा कर (भारत),Goods and Services Tax (India)
विधान सभा,State Legislative Assembly (India)
